route_key,rows,beats_zero_rmse,beats_zero_mae,sparse_stage_b,min_move_delta,min_stage_b_moves,stage,rank,feature,metric_name,metric_value,is_route_engineered_feature
DAC-CXB,2377,False,False,False,200.0,5,stage_b,3,num__hours_to_departure,coef,648.9445216708787,False
DAC-CXB,2377,False,False,False,200.0,5,stage_b,4,num__days_to_departure,coef,614.7430629181515,False
DAC-CXB,2377,False,False,False,200.0,5,stage_b,5,cat__dtd_bucket_D31p,coef,-555.4280764552459,True
DAC-CXB,2377,False,False,False,200.0,5,stage_b,6,num__open_seat_sum,coef,-418.43511220320346,False
DAC-CXB,2377,False,False,False,200.0,5,stage_b,7,num__dep_month,coef,-405.661615844355,False
DAC-CXB,2377,False,False,False,200.0,5,stage_b,8,num__probe_has_adt2,coef,393.3481596178642,False
DAC-CXB,2377,False,False,False,200.0,5,stage_b,9,cat__search_tod_bin_morning_peak,coef,361.54683813139224,True
DAC-CXB,2377,False,False,False,200.0,5,stage_b,10,cat__dtd_bucket_D1,coef,357.2996234057055,True
DAC-CXB,2377,False,False,False,200.0,5,stage_b,11,num__dtd_x_is_weekend,coef,317.9505067122947,True
DAC-CXB,2377,False,False,False,200.0,5,stage_b,12,cat__dtd_bucket_D15_30,coef,310.1400027873272,True
DAC-CXB,2377,False,False,False,200.0,5,stage_b,13,num__probe_has_adt3,coef,285.19546196446555,False
DAC-CXB,2377,False,False,False,200.0,5,stage_b,14,num__highest_open_fare,coef,-280.3053516091931,False
DAC-CXB,2377,False,False,False,200.0,5,stage_b,15,cat__lowest_bucket_code_adt1_SP,coef,241.73327733970518,False
DAC-SPD,835,False,False,False,200.0,5,stage_a,1,num__lowest_bucket_seat_proxy,importance,0.07064546362917871,False
DAC-SPD,835,False,False,False,200.0,5,stage_a,2,num__dac_spd_inv_press_x_dtd,importance,0.03957062510564008,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,3,num__hours_to_departure,importance,0.033308415800840985,False
DAC-SPD,835,False,False,False,200.0,5,stage_a,4,num__dac_spd_lowest_open_fare,importance,0.031069405270303857,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,5,cat__dac_spd_dow_dtd_key_dow2|D15_30,importance,0.029965688485640025,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,6,num__dac_spd_fare_spread_pct,importance,0.027413808040057105,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,7,num__fare_ladder_high_low_ratio,importance,0.027139847184478698,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,8,num__dac_spd_fare_spread_abs,importance,0.02503517796795154,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,9,num__fare_ladder_spread_to_low_ratio,importance,0.02386528528553351,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,10,num__lowest_open_fare,importance,0.023372513863235876,False
DAC-SPD,835,False,False,False,200.0,5,stage_a,11,num__fare_adt1,importance,0.02318833502944795,False
DAC-SPD,835,False,False,False,200.0,5,stage_a,12,num__dac_spd_spread_pct_x_dtd,importance,0.023122574538736434,True
DAC-SPD,835,False,False,False,200.0,5,stage_a,13,num__dac_spd_fare_ladder_high_low_ratio,importance,0.022390181457347898,True
